EBS;place_name;country;disease_name;species_name;alert_id;source;href;issue_date;alert_tag;Manualclass;Confirmed ;Empres-i ref;reviewed;sc;sd;cc;cd;ro;long_name;lon;lat;Pointssamplingtool;Safesignal
HealthMap;"Guizhou Province; China";China;Avian Influenza H5N6;Poultry (domestic);6060294;the tribune;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHXBTfWkF6dpkWMJzaOGHH9gt66Lw&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=T1uvW4DfCpaQ3AG-qZbYCg&url=https://www.tribuneindia.com/news/world/china-reports-h5n6-bird-flu-case-on-poultry-farm-in-guizhou-province/660667.html;29-sept-18;Breaking;Relevant;yes;240709;10/03/2018 21:02;;;;;;Google News;105.933296;26.25;115;54,9
HealthMap;"Guangdong Province; China";China;Avian Influenza H5N6;Poultry (domestic);6062576;twitter;https://twitter.com/FluTrackers/statuses/1046560449456738309;30-sept-18;Breaking;Relevant;yes;240695;8/22/19 11:04;;;1;;;Twitter;112.8405;24.8764;68;73,33
HealthMap;"Guangzhou; Guangdong Province; China";China;Avian Influenza H5N6;Humans;6064984;outbreaknewstoday;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH_40_La8Oqpcqjpr0YacZepFHXyQ&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=StGyW4jlFdO73wHjxa2wCQ&url=http://outbreaknewstoday.com/china-h5n6-avian-influenza-case-reported-guangdong-28400/;01-oct-18;Breaking;Relevant;yes;240695;8/22/19 10:19;;;1;;;Google News;113.25;23.1166;150;41,18
HealthMap;"Liaoning Province; China";China;African Swine Fever;Pigs;6077570;trust;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEAMmmpEL4fw2EBFd9R8Pxhjag4nw&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780060675233&ei=9Ua7W6ndItSp3wH7xY7wCQ&url=http://news.trust.org/item/20181008111504-s6boj/;08-oct-18;Breaking;Irrelevant;no;;8/28/19 14:56;;;0;43;;Google News;123.002899;41.013;98;61,57
HealthMap;"Liaoning Province; China";China;African Swine Fever;Pigs;6077581;twitter;https://twitter.com/Reuters_Health/statuses/1049259494520311808;08-oct-18;Breaking;Irrelevant;no;;8/21/19 16:40;;;334;93;;Twitter;123.002899;41.013;98;61,57
HealthMap;"Anshan; Liaoning Province; China";China;African Swine Fever;Pigs;6079095;trust;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNEtKuh-50e9HSJgni5UI3BG5l-wDA&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780060675233&ei=5hm8W_CPNNWu3wHDwY-wDg&url=http://www.trust.org/item/20181009024853-5kp1b/;08-oct-18;Breaking;Irrelevant;no;;8/21/19 16:22;;;160;160;;Google News;122.989998;41.123611;115;54,9
HealthMap;"Hunan Province; China";China;Avian Influenza H5N6;Poultry (domestic);6079921;twitter;https://twitter.com/Reuters_Health/statuses/1049626967690100738;09-oct-18;Breaking;Relevant;yes;240989;8/21/19 16:05;519;;;385;;Twitter;112.016602;27.9944;112;56,08
HealthMap;"Hunan Province; China";China;Avian Influenza H5N6;Poultry (domestic);6080054;shine;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNH4cu1N6DAwBleq_wIK9ihI_1U5oA&clid=c3a7d30bb8a4878e06b80cf16b898331&ei=haa8W5i8E9a63wGRlJPwBg&url=https://www.shine.cn/news/nation/1810093207/;09-oct-18;Breaking;Relevant;yes;240989;8/21/19 15:33;;;;385;;Google News;112.016602;27.9944;112;56,08
HealthMap;"Hunan Province; China";China;Avian Influenza H5N6;Poultry (domestic);6083945;chanelnewsasia;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNGVMSrg2dLxRQjoY7IsVq4KnyhJSQ&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780061392433&ei=uJK-W5noLs2f3QGwlargAw&url=https://www.channelnewsasia.com/news/asia/china-reports-new-h5n6-bird-flu-outbreak-in-hunan-province-10808126;09-oct-18;Breaking;Relevant;yes;240989;8/21/19 12:44;;;;385;;Google News;112.016602;27.9944;112;56,08
HealthMap;"Anshan; Liaoning Province; China";China;African Swine Fever;Pigs;6087039;reuters;https://twitter.com/Reuters_Health/statuses/1050688175381905409;12-oct-18;Breaking;Irrelevant;no;;8/21/19 12:30;;;88;72;;Twitter;122.989998;41.123611;115;54,9
HealthMap;"Tianjin; China";China;African Swine Fever;Pigs;6087218;twitter;https://twitter.com/Reuters_Health/statuses/1050717140532297728;12-oct-18;Breaking;Irrelevant;no;;8/21/19 12:28;;;292;189;;Twitter;117.158203;39.130001;132;48,24
HealthMap;"Liaoning Province; China";China;African Swine Fever;Pigs;6087346;agriland;http://news.google.com/news/url?sa=t&fd=R&ct2=us&usg=AFQjCNHf8J7bNotytigxGQbHQy9_TYDRLg&clid=c3a7d30bb8a4878e06b80cf16b898331&cid=52780064480077&ei=D5vAW6iHFYL-3gG54b6oDg&url=https://www.agriland.ie/farming-news/african-swine-fever-outbreak-kills-72-pigs-in-china-report/;12-oct-18;Breaking;Irrelevant;no;;8/21/19 12:28;;;;72;;Google News;123.002899;41.013;98;61,57
